Time,Clonskeagh Totem,Clonskeagh Totem IN,Clonskeagh Totem OUT,Dun Laogaire @ Seapoint Beach Cyclist,Dun Laogaire @ Seapoint Beach Cyclists IN,Dun Laogaire @ Seapoint Beach Cyclists OUT,Dun Laoghaire @ Peoples Park Cyclist,Dun Laoghaire @ Peoples Park Cyclists IN,Dun Laoghaire @ Peoples Park Cyclists OUT,Dun Laoghaire @ York Road Cyclist,Dun Laoghaire @ York Road Cyclists IN,Dun Laoghaire @ York Road Cyclists OUT,Glenageary Cyclist,Glenageary Bikes IN,Glenageary Bikes OUT,Grange Road Totem,N11 Before UCD,N11 Before UCD Cyclist IN,N11 Before UCD Cyclist OUT,N11 Outbound (Montrose),N11 Outbound (Montrose) OUT-Away From City Centre,N11 Outbound (Montrose) IN- Towards City Centre,N11 Totem Inbound,Rock Road Bus Lane,Rock Road Park,Rock Road Park IN,Rock Road Park OUT,Rock Road Totem Inbound,Wyattville Rd - Bicycles From N11,Wyattville Rd - Bicycles Towards N11,Wyattville Rd At Park Gates Cyclist,Wyattville Rd At Park Gates Bikes IN,Wyattville Rd At Park Gates Bikes OUT,Wyattville Road At Steps Cyclist,Wyattville Road At Steps Bikes IN,Wyattville Road At Steps Bikes OUT
"Nov 24, 2010 5:00 AM",,,,,,,,,,,,,18,10,8,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 6:00 AM",,,,,,,,,,,,,6,6,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 7:00 AM",,,,,,,,,,,,,3,0,3,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 8:00 AM",,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 9:00 AM",,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 10:00 AM",,,,,,,,,,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 11:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 12:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 1:00 PM",,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 2:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 3:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 4:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 5:00 PM",,,,,,,,,,,,,5,5,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 6:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 7:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 8:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 9:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 10:00 PM",,,,,,,,,,,,,7,7,0,,,,,,,,,,,,,,,,,,,,,
"Nov 24, 2010 11:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 12:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 1:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 2:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 3:00 AM",,,,,,,,,,,,,9,9,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 4:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 5:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 6:00 AM",,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 7:00 AM",,,,,,,,,,,,,5,2,3,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 8:00 AM",,,,,,,,,,,,,8,2,6,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 9:00 AM",,,,,,,,,,,,,8,2,6,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 10:00 AM",,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 11:00 AM",,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 12:00 PM",,,,,,,,,,,,,7,6,1,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 1:00 PM",,,,,,,,,,,,,4,0,4,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 2:00 PM",,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 3:00 PM",,,,,,,,,,,,,4,1,3,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 4:00 PM",,,,,,,,,,,,,4,4,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 5:00 PM",,,,,,,,,,,,,4,2,2,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 6:00 PM",,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 7:00 PM",,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 8:00 PM",,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 9:00 PM",,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 10:00 PM",,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2010 11:00 PM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 26, 2010 12:00 AM",,,,,,,,,,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,
"Nov 26, 2010 1:00 AM",,,,,,,,,,,,,2,0,2,,,,,,,,,,,,,,,,,,,,,
"Nov 26, 2010 2:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 26, 2010 3:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 26, 2010 4:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 26, 2010 5:00 AM",,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Nov 26, 2010 6:00 AM",,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
"Nov 26, 2010 7:00 AM",,,,,,,,,,,,,4,1,3,,,,,,,,,,,,,,,,,,,,,
